postal code,latitude,longitude
43451,+41.3183010,-083.6174935
43452,+41.5157923,-082.9809454
42445,+37.1333391,-087.8517396
43456,+41.6468445,-082.8226641
43460,+41.6011920,-083.5649985
39564,+30.4047703,-088.7712286
73160,+35.3324382,-097.4752173
71973,+34.3018822,-094.3189864
70506,+30.1954606,-092.0813051
80498,+39.7466315,-106.2705296
75165,+32.3722011,-096.7849441
43457,+41.2673266,-083.4274645
43458,+41.5304461,-083.2133648
97824,+45.3543012,-117.7564700
97825,+44.3851264,-119.4962730
97826,+45.6642964,-119.2323162
97827,+45.5754239,-117.8380496
97828,+45.7165633,-117.2219918
97830,+44.9665525,-120.1831532
97833,+44.9288886,-118.0148791
97834,+44.9722752,-117.1611907
97835,+45.9100067,-118.7865436
97836,+45.3211522,-119.4746198
97837,+44.5566606,-118.0671060
97838,+45.8530040,-119.2872655
97839,+45.5911709,-119.5930402
97840,+44.8845993,-116.9184445
97841,+45.4651158,-117.9449249
97842,+45.3992707,-116.7369887
97843,+45.5023217,-119.9028655
95915,+40.0062561,-121.1588944
70507,+30.2783187,-092.0280375
75166,+33.0130469,-096.4538868
43462,+41.2837850,-083.7228646
43463,+41.5086650,-083.5080344
43464,+41.4048795,-082.9241092
94123,+37.8009336,-122.4383664
94124,+37.7288947,-122.3827787
27109,+36.1339281,-080.2776346
75167,+32.3608294,-096.9155228
80501,+40.1648369,-105.1031785
70508,+30.1552385,-092.0282253
75169,+32.7032691,-095.9946662
80503,+40.1690141,-105.2103757
75172,+32.6051769,-096.6743172
75173,+33.0617371,-096.3958247
43465,+41.5654721,-083.5003020
43466,+41.2953588,-083.5148215
43467,+41.2432028,-083.4838410
43468,+41.5978668,-083.3414931
97844,+45.8841501,-119.5488363
97845,+44.4018235,-118.9030596
97846,+45.4626987,-117.0395862
97848,+44.7221766,-119.5805545
97850,+45.3035379,-118.1132779
97856,+44.8152119,-119.1252546
97857,+45.3846667,-117.4801381
97859,+45.5267188,-118.4214554
97862,+45.9220632,-118.3160627
97864,+44.8054660,-119.4359320
97865,+44.4614657,-119.1800399
97867,+45.0776545,-117.9937623
97868,+45.4092940,-118.8535816
97869,+44.3975633,-118.6339795
97870,+44.7879893,-117.1865631
97873,+44.1320132,-119.0028841
97874,+44.7775726,-119.8675938
97875,+45.8185492,-119.1328535
97876,+45.5164389,-118.0356779
97877,+44.7117420,-118.4105173
97880,+45.0886688,-118.8825062
97882,+45.8974306,-119.3660707
97883,+45.1924234,-117.6341548
70510,+29.8946123,-092.1931730
69335,+42.0747951,-102.1098450
69336,+41.6285268,-103.1673708
94118,+37.7800933,-122.4626054
94121,+37.7767691,-122.4947073
94122,+37.7587992,-122.4851269
94127,+37.7362198,-122.4593380
94130,+37.8206567,-122.3696475
94502,+37.7375722,-122.2455071
27311,+36.4796508,-079.4725635
27312,+35.7564045,-079.2097895
94128,+37.6264115,-122.3857566
48756,+44.2337464,-083.9733794
27313,+35.9308990,-079.7582416
27314,+36.3103602,-079.1962496
27315,+36.5101899,-079.4035410
27316,+35.6970133,-079.6257928
27317,+35.8407367,-079.8024987
27320,+36.3416434,-079.6575265
27325,+35.4630868,-079.5840912
94129,+37.7973356,-122.4644622
37342,+35.3919677,-085.9479998
33584,+28.0054554,-082.2943370
33585,+28.7308720,-082.0860565
33592,+28.1018705,-082.2832358
37343,+35.1666685,-085.2122799
37345,+35.0168069,-086.2030198
27326,+36.4641162,-079.5568450
27330,+35.5144078,-079.1954530
27332,+35.3847044,-079.1372155
69337,+42.8271753,-103.0128987
69339,+42.6043427,-103.4129357
78361,+27.1004476,-098.7899657
78362,+27.8501647,-097.2032659
78363,+27.4442036,-097.8655974
94131,+37.7459165,-122.4414731
33596,+27.8872147,-082.2258700
37347,+35.0634681,-085.6134179
37348,+35.1316145,-086.4340510
27405,+36.1149213,-079.7370298
27406,+36.0005423,-079.7646767
78368,+28.1034445,-097.8081836
78369,+27.3651304,-098.9967079
94132,+37.7222142,-122.4840831
37350,+34.9939206,-085.3501839
84501,+39.5464271,-110.7575960
72010,+35.3201947,-091.5376181
84511,+37.5858447,-109.4077997
39531,+30.4039945,-088.9661326
42409,+37.5386369,-087.6929336
72011,+34.5006233,-092.4658852
84512,+37.0941073,-109.6181816
72012,+35.0948425,-091.9075830
84513,+39.2376742,-111.0144726
73401,+34.2032886,-097.1155201
78370,+27.9481476,-097.5986970
78371,+27.6152561,-098.9463731
25025,+38.3146898,-081.4113932
25028,+37.9471472,-081.7255724
25030,+38.4533174,-081.2258467
42410,+37.2785392,-087.5117711
